order_type,ticker,size,price_filled,route,time_filled,net_pl,gross_pl,commissioned_pl,num_trades
Sell,NKLA,11,40.0,SMAT,10:05:39,1.21,0.0,0.0,0
Sell,NKLA,8,40.0,SMAT,10:05:42,0.88,0.0,0.0,0
Sell,NKLA,6,40.03,SMAT,10:05:46,0.84,0.0,0.0,0
Sell,NKLA,20,40.39,SMAT,10:06:04,10.0,0.0,0.0,0
Buy,NKLA,50,40.69,SMAT,10:06:23,0.0,0.0,0.0,0
Sell,NKLA,5,40.81,SMAT,10:06:35,0.6,0.0,0.0,0
Sell,NKLA,11,40.9,SMAT,10:06:40,2.31,0.0,0.0,0
Sell,NKLA,34,40.79,SMAT,10:06:52,3.4,0.0,0.0,0
Buy,NKLA,50,40.0,SMAT,10:11:13,0.0,0.0,0.0,0
Sell,NKLA,5,40.05,SMAT,10:11:39,0.25,0.0,0.0,0
Sell,NKLA,4,40.05,SMAT,10:12:25,0.2,0.0,0.0,0
Sell,NKLA,4,39.93,SMAT,10:14:02,-0.28,0.0,0.0,0
Sell,NKLA,37,39.92,SMAT,10:14:42,-2.96,0.0,0.0,0
Buy,NKLA,50,40.2,SMAT,10:17:41,0.0,0.0,0.0,0
Sell,NKLA,5,40.27,SMAT,10:18:06,0.35,0.0,0.0,0
Sell,NKLA,11,40.31,SMAT,10:18:12,1.21,0.0,0.0,0
Sell,NKLA,34,40.34,SMAT,10:18:16,4.76,0.0,0.0,0
Buy,NKLA,50,40.74,SMAT,10:19:06,0.0,0.0,0.0,0
Sell,NKLA,5,40.77,SMAT,10:19:13,0.15,0.0,0.0,0
Sell,NKLA,45,40.5,SMAT,10:19:45,-10.8,0.0,0.0,0
Buy,NKLA,50,40.66,SMAT,10:20:33,0.0,0.0,0.0,0
Sell,NKLA,50,40.11,SMAT,10:24:28,-27.5,0.0,0.0,0
Buy,NKLA,50,39.87,SMAT,10:33:28,0.0,0.0,0.0,0
Sell,NKLA,5,39.9,SMAT,10:34:15,0.15,0.0,0.0,0
Sell,NKLA,11,40.1,SMAT,10:39:26,2.53,0.0,0.0,0
Sell,NKLA,3,40.08,SMAT,10:39:30,0.63,0.0,0.0,0
Sell,NKLA,3,40.04,SMAT,10:39:45,0.51,0.0,0.0,0
Sell,NKLA,28,39.35,SMAT,10:43:46,-14.56,0.0,0.0,0
Buy,NKLA,50,39.32,SMAT,10:45:38,0.0,0.0,0.0,0
Sell,NKLA,50,39.02,SMAT,10:46:42,-15.0,0.0,0.0,0
Buy,NKLA,50,39.54,SMAT,10:50:17,0.0,0.0,0.0,0
Sell,NKLA,50,39.27,SMAT,10:50:31,-13.5,0.0,0.0,0
Buy,NKLA,50,39.66,SMAT,10:52:33,0.0,0.0,0.0,0
Sell,NKLA,12,39.71,SMAT,10:52:48,0.6,0.0,0.0,0
Sell,NKLA,38,39.72,SMAT,10:53:00,2.28,0.0,0.0,0
Buy,NKLA,50,39.78,SMAT,10:54:47,0.0,0.0,0.0,0
Sell,NKLA,5,39.82,SMAT,10:55:18,0.2,0.0,0.0,0
Sell,NKLA,4,39.82,SMAT,10:55:51,0.16,0.0,0.0,0
Sell,NKLA,10,39.89,SMAT,10:56:38,1.1,0.0,0.0,0
Sell,NKLA,7,39.84,SMAT,10:57:02,0.42,0.0,0.0,0
Sell,NKLA,24,39.81,SMAT,10:57:23,0.72,0.0,0.0,0
Buy,NKLA,50,39.19,SMAT,11:12:37,0.0,0.0,0.0,0
Sell,NKLA,5,39.23,SMAT,11:16:10,0.2,0.0,0.0,0
Sell,NKLA,4,39.26,SMAT,11:16:16,0.28,0.0,0.0,0
Sell,NKLA,4,39.35,SMAT,11:16:28,0.64,0.0,0.0,0
Sell,NKLA,9,39.35,SMAT,11:16:32,1.44,0.0,0.0,0
Sell,NKLA,7,39.45,SMAT,11:16:41,1.82,0.0,0.0,0
Sell,NKLA,21,39.39,SMAT,11:16:54,4.2,0.0,0.0,0
Buy,NKLA,50,38.98,SMAT,11:22:06,0.0,0.0,0.0,0
Sell,NKLA,5,38.97,SMAT,11:23:24,-0.05,0.0,0.0,0
Sell,NKLA,45,38.84,SMAT,11:26:34,-6.3,0.0,0.0,0
Buy,NKLA,50,39.75,SMAT,11:38:43,0.0,0.0,0.0,0
Sell,NKLA,50,39.74,SMAT,11:39:05,-0.5,0.0,0.0,0
Buy,NKLA,50,39.83,SMAT,11:39:56,0.0,0.0,0.0,0
Sell,NKLA,50,39.46,SMAT,11:43:07,-18.5,0.0,0.0,0
